vendor,display_name,sample_sku,official_website_url,official_website_status,official_website_source,official_website_confidence,search_url_template,search_template_status,search_result_mode,resolver_hint,review_status,review_notes,last_checked_utc
Snow Performance,Snow Performance,SP-430,https://www.snowperformance.net/,confirmed,direct_homepage_validation_via_brand_redirect,medium,https://www.nitrousexpress.com/search.asp?search_prod={sku},confirmed,search_results,playwright_search_submit,pending,,
Snyder Performance Engineering,Snyder Performance Engineering,SPE-67HTFK,https://www.spemotorsport.com/,confirmed,direct_homepage_validation,high,https://www.spemotorsport.com/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
SoCal SuperTrucks,SoCal SuperTrucks,SS-200215,https://socalsupertrucks.com/,confirmed,direct_homepage_validation,high,https://socalsupertrucks.com/search.php?search_query={sku},confirmed,search_results,playwright_search_submit,pending,,
South Bend Clutch,South Bend Clutch,SBC-0090,https://southbendclutch.com/,confirmed,direct_homepage_validation,high,https://southbendclutch.com/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
Sprint Booster,Sprint Booster,SBDO1003S,https://www.sprintboosterusa.com/,confirmed,direct_homepage_validation,high,https://www.sprintboosterusa.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
SpynTec Industries,SpynTec Industries,SAST-D09S,https://spyntec.com/,confirmed,direct_homepage_validation,high,https://spyntec.com/?s={sku},confirmed,search_results,manual_wordpress_search_validation,pending,,
SteerSmarts,SteerSmarts,SS-714001,https://steersmarts.com/,confirmed,direct_homepage_validation,high,https://steersmarts.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Street Performance,Street Performance,SP-PD805,https://street-performance.com/,probable,search_result_official_domain_match,medium,,unresolved,,,pending,Unknown page type,
sPOD,sPOD Switch Pods,,https://www.4x4spod.com/,confirmed,search_result_official_domain_plus_direct_homepage_validation,high,https://4x4spod.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Sulastic Rubber Springs,Sulastic Rubber Springs,SUL-SC-15,https://sulastic.com/en/,confirmed,direct_homepage_validation,high,https://sulastic.com/en/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
SunCoast Performance,SunCoast Performance,SC-68-1,https://suncoastdiesel.com/,confirmed,direct_homepage_validation,medium,https://suncoastdiesel.com/search-diesel.html?orientation=vertical&q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: No visible search input found,
SuperSprings,SuperSprings,SS-SSA22,https://superspringsinternational.com/,confirmed,direct_homepage_validation,high,https://superspringsinternational.com/?s={sku}&id=5023383376,confirmed,search_results,playwright_search_submit,pending,,
Superchips,Superchips,SC-1545,https://superchips.com/,probable,brand_domain_redirect_to_holley_brand_page,high,https://www.holley.com/search/?q={sku},confirmed,search_results,inferred_parent_brand_holley_search,pending,Inferred from live browser redirect: superchips.com resolves onto a Holley-hosted brand page. Using Holley search route https://www.holley.com/search/?q={sku}.,
Suspension MAXX,Suspension MAXX,SMX-2535,https://suspensionmaxx.com/,confirmed,direct_homepage_validation,high,https://suspensionmaxx.com/catalog?search_api_fulltext={sku},confirmed,search_results,playwright_search_submit,pending,,
Switch-Pros,Switch-Pros,SP-SP9100BEZEL,https://www.switchpros.com/,confirmed,direct_homepage_validation,high,https://www.switchpros.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form_with_playwright,pending,,
Synapse Auto,Synapse Auto,SYNA-S79-L5P1,https://synapseauto.com/,probable,search_result_official_domain_match,high,https://synapseauto.com/filterSearch?advs=true&cid=0&mid=0&vid=0&q={sku}&sid=true&isc=true&orderBy=0,confirmed,search_results,playwright_search_submit,pending,,
Synergy Manufacturing,Synergy Manufacturing,SYN-8581,https://www.synergymfg.com/,confirmed,direct_homepage_validation,high,https://www.synergymfg.com/?target=search&mode=search&substring={sku},confirmed,search_results,playwright_search_submit,pending,,
T-Rex Grilles,T-Rex Grilles,TREX-51211,https://trexbillet.com/,confirmed,direct_homepage_validation,high,https://trexbillet.com/search.html?q={sku},confirmed,search_results,manual_bigcommerce_form_validation,pending,Browser-validated search route; direct HTTP may hit human verification/405.,
TS Performance,TS Performance,TS-1290301,https://www.tsperformanceofficial.com/,confirmed,direct_homepage_validation_via_brand_redirect,medium,/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Tekonsha,Tekonsha,TEK-9030,https://www.tekonsha.com/,confirmed,direct_homepage_validation,high,,unresolved,,manual_post_search_endpoint,pending,Site search submits POST /api/ue/AddSiteVisitorSearchResults then lands on GET /SearchResults; autocomplete endpoint GET /Api/Search/GetProdAutocomplete?value={sku}&cat=all.,
Timbren,Timbren,TB-DR250,https://timbren.com/,confirmed,direct_homepage_validation,high,https://timbren.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Toolbox Widget,Toolbox Widget,TBW-VW15,https://toolboxwidget.com/,confirmed,direct_homepage_validation,high,https://toolboxwidget.com/search?q={sku}&options%5Bprefix%5D=last,confirmed,search_results,playwright_search_submit,pending,,
Tork Teknology,Tork Teknology,DPP-BBS010,https://www.torkteknology.com/,confirmed,direct_homepage_validation,high,https://www.torkteknology.com/search.php?search_query={sku},confirmed,search_results,playwright_search_submit,pending,,
Total Seal Piston Rings,Total Seal Piston Rings,TSPR-S4194,https://www.totalseal.com/,confirmed,direct_homepage_validation,high,https://totalseal.com/search?query={sku},probed,search_results,common_template_probe,pending,,
Trigger Wireless Accessory Controller,Trigger Wireless Accessory Controller,AAC-2100,https://triggercontroller.com/,confirmed,direct_homepage_validation,high,https://triggercontroller.com/?s={sku},confirmed,search_results,playwright_search_submit,pending,,
Tuffy Security,Tuffy Security,TFY-354-01,https://tuffyproducts.com/,confirmed,direct_homepage_validation,high,https://tuffyproducts.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Turbo Time USA,Turbo Time USA,TTP-LB-VGT-60,https://turbotimeusa.com/,confirmed,direct_homepage_validation,high,https://turbotimeusa.com/search?type=product%2Carticle%2Cpage&q={sku},confirmed,search_results,playwright_search_submit,pending,,
Turbosmart,Turbosmart,TS-0304-1002,https://www.turbosmart.com/,confirmed,direct_homepage_validation,high,https://www.turbosmart.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
USA Standard Gear,USA Standard Gear,USG-ZSG7616,https://www.usastandardgear.com/,confirmed,direct_homepage_validation,high,https://www.usastandardgear.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Valair Clutch,Valair Clutch,V-2130,https://valairinc.com/,confirmed,direct_homepage_validation,high,https://valairinc.com/?s={sku},probed,search_results,common_template_probe,pending,,
Volant,Volant,VOL-35066,https://volant.com/,confirmed,direct_homepage_validation,high,https://volant.com/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
Warn,BorgWarner,WARN-17801,https://www.warn.com/,probable,official_domain_match; homepage blocks scripted requests,high,https://warn.com/search?q={sku},probed,search_results,common_template_probe,pending,,
WeatherTech,WeatherTech,WT-440612,https://www.weathertech.com/,probable,exact_brand_domain_match; homepage blocks script (403),high,,unresolved,,,pending,search-template fetch error: HTTP Error 403: Forbidden,
Wehrli Custom Fabrication,Wehrli Custom Fabrication,WCF-WCF100165-GB,https://www.wcfab.com/,confirmed,direct_homepage_validation,high,https://www.wcfab.com/search.html?q={sku},confirmed,search_results,manual_bigcommerce_form_validation,pending,Browser-validated search route; direct HTTP may hit human verification/405.,
Weigh Safe,Weigh Safe,WSF-WS05,https://www.weigh-safe.com/,confirmed,direct_homepage_validation,high,https://www.weigh-safe.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Westin,Westin Automotive Products,WES-21-1315,https://www.westinautomotive.com/,probable,official_domain_match; homepage returns bot challenge to script,high,https://westinautomotive.com/search?q={sku},probed,search_results,common_template_probe,pending,,
"Wilwood Engineering, Inc.","Wilwood Engineering, Inc.",WIL-220-9811,https://wilwood.com/,confirmed,direct_homepage_validation,high,https://wilwood.com/Search/PartNoSearch?q={sku},confirmed,search_results,playwright_search_submit,pending,,
XDP,XDP,XDP-XD200,https://www.xtremediesel.com/,probable,exact_brand_domain_match; homepage blocks script (403),high,https://www.xtremediesel.com/xtreme-diesel-performance-xdp-search?q={sku},confirmed,search_results,manual_user_seed_xdp_bot_sensitive,pending,Confirmed manual search route: https://www.xtremediesel.com/xtreme-diesel-performance-xdp-search?q={sku}. XDP is bot-sensitive; prefer schema lookup and the existing anti-bot handling where possible.,
XS Power,XS Power,XS-580,https://4xspower.com/,confirmed,direct_homepage_validation,medium,https://4xspower.com/search?q={sku},confirmed,search_results,manual_shopify_search_validation,pending,Search route validated; sample SKU returned a no-results page.,
Yukon Gear & Axle,Yukon Gear & Axle,YUK-YGK058,https://www.yukongear.com/,confirmed,direct_homepage_validation,high,https://www.yukongear.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
ZROADZ,ZROADZ,ZRZ-Z325472,https://zroadz.com/,confirmed,direct_homepage_validation,high,https://zroadz.com/search.html?q={sku},confirmed,search_results,manual_bigcommerce_form_validation,pending,Browser-validated search route; sample SKU returned a no-results page.,
Zone Offroad Suspension,Zone Offroad Suspension,ZON-D9,https://zoneoffroad.com/,confirmed,direct_homepage_validation,high,https://zoneoffroad.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Zumbrota Drivetrain,Zumbrota Drivetrain,ZUM-RTC241DHD-7,https://www.zumbrotadrivetrain.com/,confirmed,direct_homepage_validation,high,https://www.zumbrotadrivetrain.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
